year,species,morans_i,growth_index,road_proximity,nest_success,usurpation,management,winter_nest_removal,deterrence_active_nest_removal,deterrence_at_night
1992,BCNH,-4.852870816,NA,NA,NA,NA,NA,NA,NA,NA
1992,DCCO,-1.467584061,NA,NA,NA,NA,-0.868027777,NA,NA,NA
1993,BCNH,-0.22467218,NA,-1.046188096,NA,NA,NA,NA,NA,NA
1993,DCCO,-0.786986118,0.877106907,NA,NA,NA,-0.868027777,NA,NA,NA
1994,BCNH,0.009744147,NA,-0.866474804,NA,NA,NA,NA,NA,NA
1994,DCCO,0.113324603,1.870190413,NA,NA,NA,-0.868027777,NA,NA,NA
1995,BCNH,0.235974282,NA,-0.943494786,NA,NA,NA,NA,NA,NA
1995,DCCO,1.231779557,-0.449234284,NA,NA,NA,-0.868027777,NA,NA,NA
1996,BCNH,0.272236927,NA,-0.712434838,NA,NA,NA,NA,NA,NA
1996,DCCO,-0.237884217,0.007850365,NA,NA,NA,-0.868027777,NA,NA,NA
1997,BCNH,0.269665988,NA,-0.596904865,NA,NA,NA,NA,NA,NA
1997,DCCO,-0.304668562,0.256216272,NA,NA,NA,-0.868027777,NA,NA,NA
1998,BCNH,-0.311255414,NA,-0.994841441,NA,NA,NA,NA,NA,NA
1998,DCCO,-0.403621913,1.051019138,NA,NA,NA,-0.868027777,NA,NA,NA
1999,BCNH,-0.097039207,NA,NA,NA,NA,NA,NA,NA,NA
1999,DCCO,-0.471948088,-0.207930207,NA,NA,NA,-0.868027777,NA,NA,NA
2000,BCNH,1.560030315,NA,NA,NA,NA,NA,NA,NA,NA
2000,DCCO,-0.333156385,0.86770848,NA,NA,NA,-0.868027777,NA,NA,NA
2001,BCNH,-0.610898282,NA,NA,NA,NA,NA,NA,NA,NA
2001,DCCO,0.520176925,0.655700483,NA,NA,NA,-0.868027777,NA,NA,NA
2002,BCNH,-0.177664274,NA,-0.134784969,NA,NA,NA,NA,NA,NA
2002,DCCO,1.434037088,0.257510683,NA,NA,NA,-0.868027777,NA,NA,NA
2003,BCNH,-0.416172879,NA,2.008937878,NA,NA,NA,NA,NA,NA
2003,DCCO,1.319458929,0.128843566,NA,NA,NA,-0.868027777,NA,NA,NA
2004,BCNH,-0.02158506,NA,2.265671153,NA,NA,NA,NA,NA,NA
2004,DCCO,0.81949177,0.07326643,NA,NA,NA,-0.868027777,NA,NA,NA
2005,BCNH,-0.428357491,NA,1.88057124,NA,NA,NA,NA,NA,NA
2005,DCCO,0.192656434,-0.517504793,NA,NA,NA,-0.868027777,NA,NA,NA
2006,BCNH,-0.195149623,NA,0.507048218,NA,NA,NA,NA,NA,NA
2006,DCCO,0.040996391,-0.377348263,NA,NA,NA,-0.868027777,NA,NA,NA
2007,BCNH,3.817477653,NA,0.622578192,NA,NA,NA,NA,NA,NA
2007,DCCO,-0.184289851,-0.593545437,NA,NA,NA,-0.868027777,NA,NA,NA
2008,BCNH,1.6731106,NA,-0.224641616,NA,NA,NA,NA,NA,NA
2008,DCCO,-0.093794427,-0.846209684,NA,NA,NA,-0.868027777,NA,-2.015564437,-2.015564437
2009,BCNH,1.257294267,NA,-0.776618157,-0.863598666,NA,NA,NA,NA,NA
2009,DCCO,-0.232822968,-1.044253635,NA,NA,1.354006401,1.116035714,-3.614784456,-2.015564437,0.465130255
2010,BCNH,-0.066102147,NA,-1.071861424,0.980696791,NA,NA,NA,NA,NA
2010,DCCO,-0.214914699,0.44255929,NA,NA,1.354006401,1.116035714,0.25819889,0.465130255,0.465130255
2011,BCNH,-0.079249368,NA,-0.160458297,0.980696791,NA,NA,NA,NA,NA
2011,DCCO,-0.353021728,0.668872233,NA,NA,0,1.116035714,0.25819889,0.465130255,0.465130255
2012,BCNH,0.521406245,NA,-0.969168114,1.946756316,NA,NA,NA,NA,NA
2012,DCCO,-0.23989827,-0.210163467,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,-2.015564437
2013,BCNH,-0.3165414,NA,-0.917821459,-0.161009921,NA,NA,NA,NA,NA
2013,DCCO,-0.371654869,-0.561573401,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,0.465130255
2014,BCNH,-0.39941971,NA,0.590486533,0.278108045,NA,NA,NA,NA,NA
2014,DCCO,-0.326212029,-0.391203687,NA,NA,2.031009601,1.116035714,0.25819889,0.465130255,0.465130255
2015,BCNH,-0.275986589,NA,0.872893135,0.673314215,NA,NA,NA,NA,NA
2015,DCCO,-0.256403238,-0.533539683,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,0.465130255
2016,BCNH,0.462563603,NA,0.449283231,0.146372655,NA,NA,NA,NA,NA
2016,DCCO,-0.334494155,-1.196313974,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,0.465130255
2017,BCNH,0.348526056,NA,0.763781494,-0.995334056,NA,NA,NA,NA,NA
2017,DCCO,0.036436453,0.825157603,NA,NA,0,1.116035714,0.25819889,0.465130255,0.465130255
2018,BCNH,-0.602427469,NA,0.372263249,-0.995334056,NA,NA,NA,NA,NA
2018,DCCO,-0.69795586,-1.68631922,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,0.465130255
2019,BCNH,1.036855763,NA,0.54555821,-0.995334056,NA,NA,NA,NA,NA
2019,DCCO,0.653299484,2.273349456,NA,NA,-0.6770032,1.116035714,0.25819889,0.465130255,0.465130255
2020,BCNH,-0.324870732,NA,-0.609741528,-0.995334056,NA,NA,NA,NA,NA
2020,DCCO,0.365885944,0.430210885,NA,NA,-0.6770032,-0.868027777,0.25819889,-2.015564437,-2.015564437
2021,BCNH,-0.860874739,NA,-0.85363814,NA,NA,NA,NA,NA,NA
2021,DCCO,-0.245589427,-1.656027732,NA,NA,NA,1.116035714,0.25819889,0.465130255,0.465130255
2022,DCCO,-0.258271478,-1.924724348,NA,NA,NA,1.116035714,0.25819889,0.465130255,0.465130255
2023,DCCO,-0.1161197,1.510329611,NA,NA,NA,1.116035714,0.25819889,0.465130255,0.465130255
2022,BCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,BCNH,NA,NA,NA,NA,NA,NA,NA,NA,NA
